Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-11-07 14:37:41,0.03125,18.02148,18.02148,0.00000
2022-11-07 14:37:42,0.09375,18.65820,18.65820,0.00000
2022-11-07 14:37:43,0.06250,18.72656,18.72656,0.00000
2022-11-07 14:37:44,0.01563,17.70898,17.70898,0.00000
2022-11-07 14:37:45,0.03125,17.70898,17.70898,0.00000
2022-11-07 14:37:46,0.62500,25.27734,25.27734,0.00000
2022-11-07 14:37:47,0.59375,30.91016,30.91016,0.00000
2022-11-07 14:37:48,0.54688,30.70313,30.70313,0.00000
2022-11-07 14:37:49,1.00000,29.88477,29.88477,0.00000
2022-11-07 14:37:50,1.03125,31.52930,31.52930,0.00000
2022-11-07 14:37:51,0.46875,29.54102,29.54102,0.00000
2022-11-07 14:37:52,0.90625,29.32031,29.32031,0.00000
2022-11-07 14:37:53,0.68750,32.00586,32.00586,0.00000
2022-11-07 14:37:54,1.31250,32.53320,32.53320,0.00000
2022-11-07 14:37:55,0.65625,32.58984,32.58984,0.00000
2022-11-07 14:37:56,1.15625,32.16211,32.16211,0.00000
2022-11-07 14:37:57,1.00000,31.80078,31.80078,0.00000
2022-11-07 14:37:58,1.00000,31.67188,31.67188,0.00000
2022-11-07 14:37:59,0.70313,33.08789,33.08789,0.00000
2022-11-07 14:38:00,1.03125,31.61133,31.61133,0.00000
2022-11-07 14:38:01,0.84375,30.59961,30.59961,0.00000
2022-11-07 14:38:02,0.34375,29.98828,29.98828,0.00000
2022-11-07 14:38:03,0.90625,31.29883,31.29883,0.00000
2022-11-07 14:38:04,1.09375,31.96289,31.96289,0.00000
2022-11-07 14:38:05,1.03125,31.74609,31.74609,0.00000
2022-11-07 14:38:06,0.42188,31.29883,31.29883,0.00000
2022-11-07 14:38:07,0.81250,30.48047,30.48047,0.00000
2022-11-07 14:38:08,0.59375,29.51563,29.51563,0.00000
2022-11-07 14:38:09,0.90625,31.13086,31.13086,0.00000
2022-11-07 14:38:10,0.64063,32.33398,32.33398,0.00000
2022-11-07 14:38:11,1.00000,31.67773,31.67773,0.00000
2022-11-07 14:38:12,0.78125,31.03516,31.03516,0.00000
2022-11-07 14:38:13,0.65625,28.65039,28.65039,0.00000
2022-11-07 14:38:14,0.68750,30.13672,30.13672,0.00000
2022-11-07 14:38:15,1.06250,31.89258,31.89258,0.00000
2022-11-07 14:38:16,0.48438,31.51367,31.51367,0.00000
2022-11-07 14:38:17,0.81250,30.94336,30.94336,0.00000
2022-11-07 14:38:18,0.78125,30.53906,30.53906,0.00000
2022-11-07 14:38:19,0.68750,30.26172,30.26172,0.00000
2022-11-07 14:38:20,0.39063,30.41602,30.41602,0.00000
2022-11-07 14:38:21,1.00000,31.60938,31.60938,0.00000
2022-11-07 14:38:22,0.75000,30.90039,30.90039,0.00000
2022-11-07 14:38:23,0.68750,28.68945,28.68945,0.00000
2022-11-07 14:38:24,0.93750,31.10352,31.10352,0.00000
2022-11-07 14:38:25,0.40625,30.50977,30.50977,0.00000
2022-11-07 14:38:26,0.78125,30.42188,30.42188,0.00000
2022-11-07 14:38:27,0.81250,30.75781,30.75781,0.00000
2022-11-07 14:38:28,0.78125,30.79102,30.79102,0.00000
2022-11-07 14:38:29,0.43750,31.03906,31.03906,0.00000
2022-11-07 14:38:30,0.96875,31.26953,31.26953,0.00000
2022-11-07 14:38:31,0.81250,30.39453,30.39453,0.00000
2022-11-07 14:38:32,0.59375,29.56641,29.56641,0.00000
2022-11-07 14:38:33,0.35938,30.11523,30.11523,0.00000
2022-11-07 14:38:34,0.84375,31.09766,31.09766,0.00000
2022-11-07 14:38:35,0.87500,31.26367,31.26367,0.00000
2022-11-07 14:38:36,1.00000,31.65234,31.65234,0.00000
2022-11-07 14:38:37,0.90625,31.14453,31.14453,0.00000
2022-11-07 14:38:38,0.34375,30.09570,30.09570,0.00000
2022-11-07 14:38:39,0.65625,29.95898,29.95898,0.00000
2022-11-07 14:38:40,0.84375,30.98828,30.98828,0.00000
2022-11-07 14:38:41,0.87500,31.17969,31.17969,0.00000
2022-11-07 14:38:42,0.40625,31.05273,31.05273,0.00000
2022-11-07 14:38:43,0.87500,31.24023,31.24023,0.00000
2022-11-07 14:38:44,0.78125,30.47070,30.47070,0.00000
2022-11-07 14:38:45,0.81250,30.73047,30.73047,0.00000
