1667471734000,51.81602
1667471739000,82.22929
1667471744000,80.58164
1667471749000,82.09102
1667471754000,76.83477
1667471759000,86.73906
1667471764000,74.46641
1667471769000,79.20547
1667471774000,80.27657
1667471779000,74.81524
1667471784000,85.68555
1667471789000,74.55273
1667471794000,77.23047
1667471799000,83.07305
1667471804000,74.91056
1667471809000,83.89063
1667471814000,76.94258
1667471819000,73.80508
1667471824000,85.02891
1667471829000,74.47578
1667471834000,81.4043
1667471839000,80.18789
1667471844000,75.55585
1667471849000,84.9379
1667471854000,74.57266
1667471859000,78.41836
1667471864000,81.68906
1667471869000,73.55117
1667471874000,84.55625
1667471879000,76.26015
1667471884000,74.66327
1667471889000,84.54336
1667471894000,74.34297
1667471899000,80.98594
1667471904000,78.7129
1667471909000,74.68867
1667471914000,85.40117
1667471919000,74.14337
1667471924000,78.1922
1667471929000,81.85743
1667471934000,74.14278
1667471939000,84.47697
1667471944000,75.58087
1667471949000,75.95625
1667471954000,83.7125
1667471959000,73.68673
1667471964000,81.44063
1667471969000,78.41446
1667471974000,74.15234
1667471979000,84.53751
1667471984000,75.07657
1667471989000,75.81484
1667471994000,82.71524
1667471999000,73.74766
1667472004000,82.22188
1667472009000,77.36172
1667472014000,73.675
1667472019000,84.86719
1667472024000,74.00977
1667472029000,79.73163
1667472034000,80.55195
1667472039000,74.16641
1667472044000,84.79649
1667472049000,74.61875
1667472054000,56.21159
